Game,Event,Result,Start Pos,End Pos,Player
intersquad,Throw-in,Unsuccessful,"[14.952380952380942, 79.80952380952381]","[39.33333333333332, 72.76190476190476]",Grey
intersquad,Throw-in,Successful,"[10.380952380952372, 0.7619047619047592]","[23.14285714285713, 10.476190476190482]",Grey
intersquad,Throw-in,Successful,"[67.9047619047619, 0.0]","[44.66666666666665, 10.476190476190482]",Grey
intersquad,Pass,Successful,"[52.09523809523808, 12.0]","[106.19047619047618, 16.57142857142857]",Grey
intersquad,Pass,Successful,"[52.66666666666665, 29.14285714285714]","[98.57142857142856, 32.0]",Grey
intersquad,Throw-in,Successful,"[28.09523809523808, 79.42857142857143]","[46.19047619047618, 57.333333333333336]",Blue
intersquad,Pass,Successful,"[26.952380952380942, 23.23809523809524]","[18.380952380952372, 30.47619047619048]",Blue
intersquad,Pass,Unsuccessful,"[2.952380952380942, 13.714285714285722]","[8.285714285714278, 27.04761904761905]",Blue
intersquad,Pass,Unsuccessful,"[36.09523809523808, 16.95238095238095]","[16.666666666666657, 26.66666666666667]",Blue
intersquad,Pass,Successful,"[9.238095238095227, 12.0]","[6.761904761904752, 44.76190476190476]",Blue
intersquad,Pass,Unsuccessful,"[92.47619047619048, 22.47619047619048]","[109.23809523809524, 26.85714285714286]",Grey
intersquad,Throw-in,Unsuccessful,"[24.857142857142847, 79.80952380952381]","[47.14285714285713, 67.61904761904762]",Grey
intersquad,Throw-in,Successful,"[57.80952380952379, 0.0]","[52.85714285714284, 9.333333333333343]",Blue
intersquad,Throw-in,Successful,"[79.14285714285714, 79.80952380952381]","[64.47619047619045, 63.23809523809524]",Blue
intersquad,Pass,Successful,"[16.666666666666657, 67.42857142857143]","[5.428571428571416, 59.61904761904762]",Blue
intersquad,Pass,Unsuccessful,"[33.42857142857141, 51.04761904761905]","[10.571428571428562, 33.714285714285715]",Blue
intersquad,Throw-in,Successful,"[81.23809523809521, 0.3809523809523796]","[97.23809523809524, 16.95238095238095]",Grey
intersquad,Pass,Successful,"[88.85714285714283, 22.285714285714292]","[111.14285714285714, 21.33333333333333]",Grey
intersquad,Throw-in,Successful,"[68.28571428571428, 0.1904761904761898]","[62.76190476190475, 4.952380952380949]",Grey
intersquad,Pass,Unsuccessful,"[111.7142857142857, 65.9047619047619]","[111.52380952380952, 21.523809523809533]",Grey
intersquad,Throw-in,Unsuccessful,"[95.7142857142857, 0.952380952380949]","[112.47619047619045, 33.523809523809526]",Grey
intersquad,Throw-in,Successful,"[89.04761904761904, 0.7619047619047592]","[59.33333333333332, 9.904761904761912]",Blue
intersquad,Throw-in,Successful,"[33.04761904761903, 80.0]","[43.33333333333332, 56.0]",Grey
intersquad,Pass,Unsuccessful,"[35.14285714285713, 67.42857142857143]","[103.7142857142857, 37.714285714285715]",Grey
intersquad,Pass,Unsuccessful,"[94.38095238095238, 30.47619047619048]","[109.42857142857142, 53.714285714285715]",Grey
intersquad,Throw-in,Successful,"[50.76190476190475, 0.3809523809523796]","[51.14285714285713, 18.66666666666667]",Blue
intersquad,Pass,Successful,"[17.999999999999986, 67.04761904761905]","[7.523809523809511, 58.666666666666664]",Blue
intersquad,Pass,Successful,"[23.52380952380951, 56.0]","[6.571428571428562, 36.0]",Blue
intersquad,Throw-in,Successful,"[83.9047619047619, 0.3809523809523796]","[84.28571428571428, 8.57142857142857]",Blue
intersquad,Pass,Successful,"[4.666666666666657, 12.952380952380949]","[8.285714285714278, 50.666666666666664]",Blue
intersquad,Throw-in,Unsuccessful,"[42.19047619047618, 0.1904761904761898]","[71.7142857142857, 5.523809523809533]",Grey
intersquad,Throw-in,Unsuccessful,"[69.04761904761904, 0.0]","[88.09523809523807, 9.523809523809533]",Grey
intersquad,Throw-in,Unsuccessful,"[12.285714285714278, 0.0]","[5.999999999999986, 29.523809523809533]",Blue
