Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
San Diego State,0,Throw-in,Successful,"[93.42857142857142, 0.7619047619047592]","[65.61904761904759, 6.857142857142861]",UCSD
San Diego State,0,Pass,Successful,"[53.6190476190476, 9.714285714285722]","[111.14285714285714, 15.80952380952381]",Opponent
San Diego State,0,Pass,Successful,"[95.7142857142857, 51.80952380952381]","[111.7142857142857, 55.04761904761905]",Opponent
San Diego State,0,Pass,Successful,"[90.76190476190476, 34.476190476190474]","[101.8095238095238, 22.66666666666667]",Opponent
San Diego State,0,Shot(foot),Unsuccessful,"[111.7142857142857, 42.285714285714285]","[119.52380952380952, 33.904761904761905]",Opponent
San Diego State,0,Shot(foot),Successful,"[107.9047619047619, 40.38095238095238]","[119.33333333333331, 42.666666666666664]",Opponent
San Diego State,0,Throw-in,Successful,"[12.09523809523808, 79.80952380952381]","[21.047619047619037, 60.19047619047619]",UCSD
San Diego State,0,Pass,Successful,"[95.52380952380952, 26.285714285714292]","[104.09523809523807, 40.38095238095238]",Opponent
San Diego State,0,Pass,Successful,"[106.0, 71.23809523809524]","[110.38095238095238, 38.095238095238095]",Opponent
San Diego State,0,Shot(foot),Successful,"[109.61904761904762, 37.523809523809526]","[119.33333333333331, 42.476190476190474]",Opponent
San Diego State,0,Pass,Successful,"[103.33333333333331, 11.42857142857143]","[113.61904761904762, 20.0]",Opponent
San Diego State,0,Pass,Successful,"[35.14285714285713, 52.19047619047619]","[5.999999999999986, 25.904761904761912]",UCSD
San Diego State,0,Shot(foot),Successful,"[86.38095238095238, 43.23809523809524]","[119.33333333333331, 38.285714285714285]",Opponent
San Diego State,0,Throw-in,Successful,"[84.47619047619045, 0.5714285714285694]","[58.76190476190475, 8.0]",UCSD
San Diego State,0,Pass,Successful,"[97.04761904761904, 28.76190476190476]","[111.7142857142857, 20.19047619047619]",Opponent
San Diego State,0,Pass,Successful,"[99.33333333333331, 14.476190476190482]","[112.09523809523807, 17.904761904761912]",Opponent
San Diego State,0,Pass,Successful,"[76.85714285714283, 24.38095238095238]","[106.95238095238093, 20.57142857142857]",Opponent
San Diego State,0,Shot(foot),Successful,"[111.14285714285714, 27.42857142857143]","[118.95238095238093, 37.523809523809526]",Opponent
San Diego State,0,Shot(foot),Unsuccessful,"[93.8095238095238, 36.0]","[118.95238095238093, 41.523809523809526]",Opponent
San Diego State,0,Throw-in,Successful,"[16.857142857142847, 79.04761904761905]","[8.285714285714278, 58.666666666666664]",UCSD
San Diego State,0,Throw-in,Successful,"[43.52380952380951, 79.80952380952381]","[45.99999999999999, 67.04761904761905]",UCSD
San Diego State,0,Throw-in,Unsuccessful,"[70.19047619047618, 0.952380952380949]","[46.76190476190475, 4.952380952380949]",UCSD
San Diego State,0,Throw-in,Unsuccessful,"[64.28571428571428, 0.3809523809523796]","[34.19047619047618, 5.714285714285722]",UCSD
San Diego State,0,Throw-in,Successful,"[16.857142857142847, 0.0]","[9.428571428571416, 10.476190476190482]",UCSD
San Diego State,0,Pass,Successful,"[12.666666666666657, 70.0952380952381]","[8.285714285714278, 37.333333333333336]",UCSD
San Diego State,0,Pass,Successful,"[33.04761904761903, 20.95238095238095]","[13.428571428571416, 19.61904761904762]",UCSD
San Diego State,0,Throw-in,Unsuccessful,"[8.09523809523808, 79.61904761904762]","[2.5714285714285623, 62.095238095238095]",UCSD
San Diego State,0,Pass,Successful,"[77.04761904761904, 13.142857142857139]","[110.95238095238093, 16.0]",Opponent
San Diego State,0,Pass,Successful,"[81.04761904761904, 12.952380952380949]","[103.7142857142857, 23.42857142857143]",Opponent
San Diego State,0,Shot(foot),Successful,"[20.09523809523808, 33.523809523809526]","[0.857142857142847, 36.761904761904766]",Opponent
San Diego State,0,Throw-in,Unsuccessful,"[78.57142857142856, 79.61904761904762]","[92.66666666666666, 64.95238095238095]",UCSD
San Diego State,0,Pass,Successful,"[89.23809523809521, 71.04761904761905]","[108.47619047619045, 43.23809523809524]",UCSD
San Diego State,0,Throw-in,Successful,"[30.952380952380942, 0.7619047619047592]","[42.76190476190475, 10.285714285714292]",UCSD
San Diego State,0,Pass,Successful,"[7.904761904761891, 71.61904761904762]","[19.33333333333332, 56.57142857142857]",Opponent
San Diego State,0,Throw-in,Successful,"[97.23809523809524, 0.1904761904761898]","[104.66666666666666, 11.42857142857143]",UCSD
San Diego State,0,Throw-in,Successful,"[66.38095238095238, 78.85714285714286]","[84.47619047619045, 64.76190476190476]",UCSD
San Diego State,0,Pass,Successful,"[118.38095238095238, 21.904761904761912]","[111.7142857142857, 41.904761904761905]",UCSD
San Diego State,0,Shot(foot),Unsuccessful,"[24.666666666666657, 32.0]","[0.0952380952380878, 33.523809523809526]",Opponent
San Diego State,0,Throw-in,Successful,"[32.85714285714284, 0.0]","[25.999999999999986, 22.85714285714286]",UCSD
San Diego State,0,Throw-in,Successful,"[99.33333333333331, 78.28571428571428]","[104.47619047619045, 68.0]",UCSD
San Diego State,0,Pass,Successful,"[36.85714285714284, 7.428571428571431]","[15.904761904761891, 26.47619047619048]",Opponent
San Diego State,0,Throw-in,Successful,"[42.38095238095237, 79.61904761904762]","[70.76190476190476, 67.61904761904762]",UCSD
San Diego State,0,Pass,Successful,"[114.57142857142856, 7.80952380952381]","[115.33333333333331, 36.57142857142857]",UCSD
