index,Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player,startX,startY,endX,endY,Side
1,Utah Valley,0.0,Throw-in,Unsuccessful,"[20.09523809523808, 80.0]","[41.61904761904761, 71.23809523809524]",UCSD,Enter a player,20.09523809523808,80.0,41.61904761904761,71.23809523809524,left
3,Utah Valley,0.0,Pass,Successful,"[37.23809523809522, 45.523809523809526]","[26.380952380952372, 50.285714285714285]",Utah Valley,Enter a player,37.23809523809522,45.523809523809526,26.380952380952372,50.285714285714285,left
5,Utah Valley,0.0,Shot(foot),Unsuccessful,"[20.476190476190467, 37.904761904761905]","[1.4285714285714164, 39.80952380952381]",Utah Valley,Enter a player,20.476190476190467,37.904761904761905,1.4285714285714164,39.80952380952381,left
7,Utah Valley,1.0,Set Piece,Successful,"[32.85714285714284, 52.19047619047619]","[6.3809523809523725, 35.42857142857143]",Utah Valley,Enter a player,32.85714285714284,52.19047619047619,6.3809523809523725,35.42857142857143,left
9,Utah Valley,1.0,Shot(head),Successful,"[7.3333333333333215, 35.80952380952381]","[1.4285714285714164, 37.142857142857146]",Utah Valley,Enter a player,7.3333333333333215,35.80952380952381,1.4285714285714164,37.142857142857146,left
11,Utah Valley,2.0,Pass,Unsuccessful,"[39.33333333333332, 63.61904761904762]","[57.04761904761903, 65.9047619047619]",UCSD,Enter a player,39.33333333333332,63.61904761904762,57.04761904761903,65.9047619047619,left
12,Utah Valley,2.0,Pass,Successful,"[4.857142857142847, 57.333333333333336]","[13.428571428571416, 46.095238095238095]",Utah Valley,Enter a player,4.857142857142847,57.333333333333336,13.428571428571416,46.095238095238095,left
14,Utah Valley,2.0,Shot(foot),Unsuccessful,"[13.619047619047606, 44.76190476190476]","[0.2857142857142776, 44.952380952380956]",Utah Valley,Enter a player,13.619047619047606,44.76190476190476,0.2857142857142776,44.952380952380956,left
16,Utah Valley,3.0,Pass,Unsuccessful,"[28.47619047619046, 5.904761904761912]","[49.23809523809522, 12.952380952380949]",UCSD,Enter a player,28.47619047619046,5.904761904761912,49.23809523809522,12.952380952380949,left
18,Utah Valley,3.0,Pass,Successful,"[45.23809523809522, 9.523809523809533]","[33.99999999999999, 18.66666666666667]",Utah Valley,Enter a player,45.23809523809522,9.523809523809533,33.99999999999999,18.66666666666667,left
20,Utah Valley,3.0,Shot(foot),Unsuccessful,"[24.09523809523808, 29.904761904761912]","[2.5714285714285623, 30.85714285714286]",Utah Valley,Enter a player,24.09523809523808,29.904761904761912,2.5714285714285623,30.85714285714286,left
21,Utah Valley,4.0,Set Piece,Successful,"[119.9047619047619, 79.61904761904762]","[112.66666666666666, 31.04761904761905]",Utah Valley,Enter a player,0.095238095238102,0.3809523809523796,7.333333333333343,48.95238095238095,right
22,Utah Valley,4.0,Shot(foot),Unsuccessful,"[112.85714285714286, 30.47619047619048]","[115.33333333333331, 33.714285714285715]",Utah Valley,Enter a player,7.142857142857139,49.52380952380952,4.666666666666686,46.285714285714285,right
23,Utah Valley,5.0,Tackle,Successful,"[84.85714285714283, 75.23809523809524]","[-1, -1]",Utah Valley,Enter a player,35.14285714285717,4.761904761904759,121.0,81.0,right
24,Utah Valley,5.0,Pass,Successful,"[113.42857142857142, 62.285714285714285]","[113.23809523809524, 36.0]",Utah Valley,Enter a player,6.571428571428584,17.714285714285715,6.761904761904759,44.0,right
25,Utah Valley,5.0,Shot(head),Unsuccessful,"[112.47619047619045, 36.0]","[118.76190476190476, 38.66666666666667]",Utah Valley,Enter a player,7.523809523809547,44.0,1.2380952380952408,41.33333333333333,right
26,Utah Valley,6.0,Tackle,Successful,"[89.61904761904759, 35.80952380952381]","[-1, -1]",Utah Valley,Enter a player,30.380952380952408,44.19047619047619,121.0,81.0,right
27,Utah Valley,6.0,Shot(foot),Unsuccessful,"[95.14285714285714, 31.61904761904762]","[119.7142857142857, 37.333333333333336]",Utah Valley,Enter a player,24.85714285714286,48.38095238095238,0.285714285714306,42.666666666666664,right
28,Utah Valley,7.0,Set Piece,Unsuccessful,"[85.04761904761904, 35.04761904761905]","[119.33333333333331, 36.761904761904766]",Utah Valley,Enter a player,34.95238095238096,44.95238095238095,0.6666666666666856,43.238095238095234,right
29,Utah Valley,7.0,Shot(foot),Successful,"[107.7142857142857, 34.85714285714286]","[118.95238095238093, 39.61904761904762]",Utah Valley,Enter a player,12.285714285714306,45.14285714285714,1.0476190476190652,40.38095238095238,right
30,Utah Valley,8.0,Pass,Unsuccessful,"[56.85714285714284, 9.333333333333343]","[21.238095238095227, 10.666666666666671]",UCSD,Enter a player,63.14285714285716,70.66666666666666,98.76190476190477,69.33333333333333,right
31,Utah Valley,8.0,Pass,Successful,"[22.761904761904752, 11.61904761904762]","[85.23809523809521, 9.523809523809533]",Utah Valley,Enter a player,97.23809523809524,68.38095238095238,34.76190476190479,70.47619047619047,right
32,Utah Valley,8.0,Shot(foot),Unsuccessful,"[106.57142857142856, 25.523809523809533]","[112.47619047619045, 34.476190476190474]",Utah Valley,Enter a player,13.428571428571445,54.47619047619047,7.523809523809547,45.523809523809526,right
