Team,Points,Duration,Aerial duels,Aerial duels accuracy,Aerial duels won,Average pass length,Average passes per possession,Average shot distance,Back passes,Back passes accuracy,Back passes accurate,Back passes percentage,Clearances,Conceded goals,Corners,Corners with shots,Corners with shots percentage,Counterattacks,Counterattacks with shots,Counterattacks with shots percentage,Crosses,Crosses accurate,Crossing accuracy,Deep completed crosses,Deep completed passes,Defensive duels,Defensive duels accuracy,Defensive duels won,Difference in Goals and xG,Duels,Duels accuracy,Duels won,Forward passes,Forward passes accuracy,Forward passes accurate,Forward passes percentage,Fouls,Free kicks,Free kicks with shots,Goal differential,Goal kicks,Goals,Interceptions,Lateral passes,Lateral passes accuracy,Lateral passes accurate,Lateral passes percentage,Long pass %,Long passes,Long passes accuracy,Long passes accurate,Long passes percentage,Losses,Losses High,Losses Low,Losses Medium,Match tempo,Offensive duels,Offensive duels accuracy,Offensive duels won,Offsides,PPDA,Passes,Passes accuracy,Passes accurate,Passes to final third,Passes to final third accuracy,Passes to final third accurate,Passes to final third percentage,Penalties,Penalties converted,Penalty area entries (runs,Penalty area entries (runs crosses),Penalty conversion percentage,Positional attacks,Positional attacks with shots,Positional attacks with shots percentage,"Possession, %",Progressive passes,Progressive passes accuracy,Progressive passes accurate,Progressive passes percentage,Recoveries,Recoveries High,Recoveries Low,Recoveries Medium,Red cards,Shots,Shots against,Shots against on target,Shots against on target accuracy,Shots from outside penalty area,Shots from outside penalty area on target,Shots from outside penalty area on target accuracy,Shots from outside penalty area on target percentage,Shots on target,Shots on target accuracy,Sliding tackle percentage,Sliding tackles,Sliding tackles successful,Smart passes,Smart passes accuracy,Smart passes accurate,Smart passes percentage,Throw in percentage,Throw ins,Throw ins accurate,Touches in penalty area,Yellow cards,xG
CSU Bakersfield Roadrunners,11,100.77777777777777,46.77777777777778,0.4327784891165173,20.444444444444443,21.04888888888889,3.2255555555555557,19.128888888888888,61.44444444444444,0.9317023445463812,56.44444444444444,0.17376425855513308,17.333333333333332,1.0,4.777777777777778,0.7777777777777778,0.27710843373493976,0.5555555555555556,0.0,0.3157894736842105,12.222222222222221,3.3333333333333335,0.29015544041450775,2.7777777777777777,5.0,76.0,0.6447562776957164,50.22222222222222,-3.7600000000000016,239.44444444444446,0.48459715639810425,116.66666666666667,139.11111111111111,0.6923406076166024,96.44444444444444,0.3076045627376426,14.0,5.0,0.8888888888888888,-0.1111111111111111,8.222222222222221,0.8888888888888888,41.44444444444444,138.88888888888889,0.8887478849407784,122.88888888888889,0.3994296577946768,13.011111111111111,47.666666666666664,0.5216251638269986,25.88888888888889,0.07566539923954373,120.11111111111111,58.0,17.77777777777778,44.333333333333336,14.546666666666669,88.44444444444444,0.39615129396151294,35.333333333333336,1.1111111111111112,8.845555555555556,385.0,0.8122297714638665,311.55555555555554,51.77777777777778,0.6424384525205158,33.77777777777778,0.10418250950570342,0.4444444444444444,0.3333333333333333,21.0,4.777777777777778,0.75,30.666666666666668,6.222222222222222,0.2196078431372549,51.41555555555556,73.0,0.7278854254422915,54.44444444444444,0.16425855513307985,87.33333333333333,11.777777777777779,37.0,38.55555555555556,0.0,10.333333333333334,11.0,3.2222222222222223,0.3220338983050847,5.444444444444445,1.6666666666666667,0.3142857142857143,0.4125,4.111111111111111,0.39603960396039606,0.494949494949495,5.0,3.0,1.3333333333333333,0.34615384615384615,0.5555555555555556,0.0017110266159695818,0.8701923076923077,24.666666666666668,22.0,14.777777777777779,1.1111111111111112,1.3611111111111112
CSUN Matadors,10,100.55555555555556,46.22222222222222,0.4824561403508772,24.333333333333332,21.378888888888888,2.683333333333333,20.39888888888889,36.77777777777778,0.9069767441860465,33.22222222222222,0.1471301535974131,19.88888888888889,1.4444444444444444,4.666666666666667,1.6666666666666667,0.2875,1.0,0.4444444444444444,0.46153846153846156,13.444444444444445,5.111111111111111,0.28936170212765955,4.444444444444445,5.222222222222222,91.33333333333333,0.6293385723641126,57.22222222222222,-0.1700000000000017,252.55555555555554,0.48597914252607183,126.22222222222223,121.22222222222223,0.6384180790960452,79.33333333333333,0.3349501482080302,15.666666666666666,3.111111111111111,0.3333333333333333,-0.2222222222222222,9.333333333333334,1.2222222222222223,34.55555555555556,114.11111111111111,0.8192972671500279,95.66666666666667,0.39585017515494475,15.483333333333333,47.888888888888886,0.5166051660516605,26.22222222222222,0.11317704122877931,119.44444444444444,46.22222222222222,24.555555555555557,48.666666666666664,13.405555555555557,88.33333333333333,0.3649584487534626,33.333333333333336,1.1111111111111112,11.566666666666666,311.6666666666667,0.7483363581367211,237.44444444444446,43.22222222222222,0.6073871409028728,27.11111111111111,0.1196443007275667,0.0,0.0,20.666666666666668,3.6666666666666665,1.0,28.0,6.555555555555555,0.23440860215053763,44.56666666666667,68.66666666666667,0.6381638163816382,44.22222222222222,0.19105362436001078,87.66666666666667,9.444444444444445,45.111111111111114,33.111111111111114,0.1111111111111111,10.444444444444445,13.222222222222221,5.444444444444445,0.37037037037037035,4.777777777777778,1.0,0.29213483146067415,0.3880597014925373,3.888888888888889,0.3785310734463277,0.5268817204301075,4.555555555555555,2.3333333333333335,1.2222222222222223,0.16666666666666666,0.2222222222222222,0.0008084074373484236,0.81,22.88888888888889,19.0,14.444444444444445,2.4444444444444446,1.4300000000000002
Cal Poly Mustangs,12,98.7,65.1,0.4406943105110897,27.9,22.616999999999997,2.7009999999999996,16.913999999999998,48.0,0.9051724137931034,44.2,0.1774076755973932,20.7,0.8,5.1,2.0,0.3150684931506849,0.9,0.6,0.7142857142857143,14.7,4.9,0.3183856502242152,4.7,6.9,87.9,0.6315112540192926,54.8,-1.4800000000000004,264.5,0.47409557838320676,124.1,141.9,0.5891110165886857,83.8,0.3342988172821627,14.8,3.7,0.7,0.4,8.6,1.2,37.5,109.6,0.8396278051450465,90.7,0.370263094376056,18.578,62.5,0.46567164179104475,27.8,0.11296162201303403,133.0,59.2,19.9,53.9,14.891,70.2,0.3581833761782348,25.4,2.2,8.064,340.7,0.725442129224304,247.0,59.0,0.5,28.5,0.11803041274438812,0.1,0.1,23.9,2.8,0.6666666666666666,31.1,6.3,0.19681908548707752,46.673,73.9,0.6568386568386568,49.0,0.1935795317402848,100.7,13.0,41.4,46.3,0.0,11.0,9.0,2.9,0.3793103448275862,3.5,0.8,0.18333333333333332,0.19298245614035087,3.4,0.3275862068965517,0.5142857142857142,3.6,1.8,1.7,0.18518518518518517,0.3,0.0012068549360366883,0.8286252354048964,30.8,26.4,16.3,1.7,1.364
Cal State Fullerton Titans,19,105.6,47.6,0.4142857142857143,19.1,20.56,3.087,20.026,54.8,0.893687707641196,48.6,0.15304380807889248,14.4,1.6,6.5,1.3,0.24107142857142858,2.4,1.0,0.40625,15.0,4.3,0.32342007434944237,4.2,10.1,88.4,0.6266066838046273,57.0,2.9800000000000004,262.3,0.47044866264020707,125.4,158.0,0.6534256559766763,104.4,0.34003413616537076,16.1,3.0,0.5,0.2,8.1,1.8,38.4,136.4,0.8399664851277755,113.2,0.3802389531575953,13.359,53.8,0.455456570155902,25.6,0.07756495353688603,130.9,61.8,20.9,48.2,15.076999999999998,88.5,0.38569604086845466,33.3,3.1,7.856,402.4,0.7565279770444763,303.1,56.2,0.5908163265306122,33.5,0.10980466527593401,0.3,0.3,26.0,4.6,0.8571428571428571,35.6,9.2,0.2611464968152866,52.109,83.1,0.677954388389772,57.0,0.18604210127062393,100.1,13.3,45.0,41.8,0.1,13.7,12.9,5.2,0.36123348017621143,6.4,2.1,0.29914529914529914,0.3723404255319149,5.1,0.3745019920318725,0.4647887323943662,4.8,1.9,2.4,0.45,0.8,0.0034136165370756686,0.84765625,28.1,24.9,20.3,1.8,1.364
Sacramento State Hornets,7,99.44444444444444,40.44444444444444,0.5030959752321982,19.555555555555557,21.05333333333333,3.298888888888889,18.023333333333333,51.44444444444444,0.9057815845824411,47.0,0.15643491124260356,15.88888888888889,1.1111111111111112,5.0,1.7777777777777777,0.41414141414141414,1.0,0.3333333333333333,0.4444444444444444,11.333333333333334,3.3333333333333335,0.2708333333333333,3.6666666666666665,5.888888888888889,71.77777777777777,0.5895131086142322,42.55555555555556,-3.2300000000000004,231.77777777777777,0.47921390778533635,106.88888888888889,140.0,0.7009764035801465,98.0,0.31860207100591714,14.0,2.888888888888889,0.3333333333333333,-0.7777777777777778,8.222222222222221,0.3333333333333333,39.55555555555556,140.88888888888889,0.8769665187575635,124.0,0.40199704142011833,14.016666666666666,52.55555555555556,0.527027027027027,28.666666666666668,0.08653846153846154,104.66666666666667,53.0,18.22222222222222,33.44444444444444,14.30777777777778,82.33333333333333,0.3851540616246499,29.11111111111111,2.3333333333333335,8.88111111111111,383.22222222222223,0.8011851851851852,307.44444444444446,56.55555555555556,0.6227795193312434,35.888888888888886,0.11020710059171597,0.0,0.0,22.666666666666668,2.888888888888889,,31.77777777777778,7.444444444444445,0.21561338289962825,51.714444444444446,76.77777777777777,0.7138461538461538,55.77777777777778,0.17159763313609466,83.0,14.11111111111111,35.44444444444444,33.44444444444444,0.2222222222222222,11.444444444444445,13.0,6.777777777777778,0.5135135135135135,4.222222222222222,1.5555555555555556,0.2716049382716049,0.3142857142857143,4.111111111111111,0.3333333333333333,0.46153846153846156,4.555555555555555,2.2222222222222223,4.222222222222222,0.22950819672131148,0.8888888888888888,0.0025887573964497044,0.7931034482758621,22.333333333333332,16.88888888888889,16.333333333333332,1.8888888888888888,1.151111111111111
UC Davis Aggies,13,102.75,58.583333333333336,0.48540856031128404,28.166666666666668,22.4425,2.705833333333333,19.4975,51.166666666666664,0.9121212121212121,47.083333333333336,0.17920222266322683,23.166666666666668,0.8333333333333334,4.75,1.5,0.3793103448275862,0.4166666666666667,0.0,0.1875,18.25,6.083333333333333,0.3757396449704142,5.75,5.833333333333333,91.5,0.5961657390228818,56.333333333333336,-4.800000000000001,275.0,0.4724865535788167,129.58333333333334,135.58333333333334,0.6610861576153532,88.83333333333333,0.3212939075213336,15.166666666666666,2.5,0.3333333333333333,0.08333333333333333,10.0,0.9166666666666666,49.583333333333336,121.25,0.8458298230834035,100.16666666666667,0.3984917642389363,18.545833333333334,63.916666666666664,0.5398075240594926,34.583333333333336,0.12244492954951379,130.91666666666666,66.83333333333333,21.75,42.333333333333336,13.5375,86.25,0.36633663366336633,30.166666666666668,1.5833333333333333,8.016666666666667,348.0,0.772378908645003,264.3333333333333,66.75,0.6375,41.75,0.15181583647549116,0.08333333333333333,0.0,25.5,3.4166666666666665,0.6666666666666666,37.0,7.166666666666667,0.20176730486008837,48.541666666666664,80.16666666666667,0.763121546961326,59.666666666666664,0.21928954157570946,100.33333333333333,16.333333333333332,40.75,43.25,0.08333333333333333,11.333333333333334,10.416666666666666,4.083333333333333,0.37967914438502676,5.333333333333333,1.25,0.23404255319148937,0.3235294117647059,3.5833333333333335,0.30357142857142855,0.4520547945205479,3.3333333333333335,1.75,1.5,0.26666666666666666,0.4166666666666667,0.0015876165905933718,0.9145299145299145,25.916666666666668,23.25,17.166666666666668,1.25,1.0291666666666666
UC Irvine Anteaters,16,102.72727272727273,37.36363636363637,0.4307004470938897,16.181818181818183,19.515454545454546,3.6709090909090905,18.98909090909091,61.54545454545455,0.9144634525660964,56.18181818181818,0.16356050069541028,22.181818181818183,0.6363636363636364,5.636363636363637,1.3636363636363635,0.2376237623762376,0.9090909090909091,0.6363636363636364,0.6428571428571429,14.0,5.2727272727272725,0.3516483516483517,5.0,8.272727272727273,73.81818181818181,0.6034364261168385,45.54545454545455,-7.59,226.8181818181818,0.4777930402930403,107.63636363636364,157.54545454545453,0.699616122840691,107.54545454545455,0.30417246175243395,11.181818181818182,4.090909090909091,0.36363636363636365,0.45454545454545453,8.090909090909092,1.0909090909090908,44.45454545454545,154.0,0.8746966019417476,133.45454545454547,0.40097357440890125,10.57,44.81818181818182,0.47879464285714285,20.181818181818183,0.05966620305980529,124.0,56.0,22.818181818181817,45.18181818181818,16.296363636363637,78.63636363636364,0.3966299416720674,29.272727272727273,2.090909090909091,10.006363636363636,436.1818181818182,0.8043405302606556,344.8181818181818,56.27272727272727,0.6496756255792401,36.09090909090909,0.09749652294853964,0.18181818181818182,0.09090909090909091,24.818181818181817,3.090909090909091,0.75,29.90909090909091,7.7272727272727275,0.2568493150684932,50.13999999999999,79.72727272727273,0.650516795865633,52.45454545454545,0.14005563282336578,100.0909090909091,16.0,44.54545454545455,39.54545454545455,0.0,12.363636363636363,9.636363636363637,3.090909090909091,0.36649214659685864,5.636363636363637,2.3636363636363638,0.3235294117647059,0.3548387096774194,5.2727272727272725,0.3940677966101695,0.5074626865671642,3.8181818181818183,2.090909090909091,3.5454545454545454,0.3673469387755102,1.2727272727272727,0.0025034770514603616,0.9394572025052192,22.272727272727273,21.09090909090909,17.636363636363637,1.9090909090909092,1.4436363636363636
UC Riverside Highlanders,12,105.9,44.0,0.4461942257217848,19.4,21.018,3.371,18.907,62.3,0.9184981684981685,57.2,0.17040434930343187,17.5,1.4,4.7,1.0,0.25316455696202533,1.2,0.7,0.47058823529411764,11.8,2.9,0.28193832599118945,3.3,5.5,87.4,0.6170906718851924,53.9,0.10000000000000142,245.7,0.47032606145906636,116.3,143.5,0.700998003992016,100.1,0.2983350322799864,15.1,4.1,1.2,0.0,8.6,1.4,42.6,149.3,0.8766928011404134,128.9,0.417940876656473,10.687999999999999,41.2,0.5363276089828269,21.5,0.0689772341148488,116.6,49.9,20.6,46.1,14.402000000000001,85.3,0.3473389355742297,31.8,2.2,8.975999999999999,401.4,0.8086275587305949,321.1,47.4,0.6123399301513388,27.7,0.08936459395174992,0.0,0.0,19.5,3.5,1.0,27.8,4.7,0.1879049676025918,53.194,75.5,0.6639283047050037,50.3,0.15103635745837582,90.2,12.0,43.4,34.8,0.3,9.4,13.4,5.5,0.3925619834710744,4.2,1.3,0.2727272727272727,0.3442622950819672,4.1,0.37423312883435583,0.5151515151515151,5.0,2.6,2.4,0.28205128205128205,0.5,0.0018688413183826028,0.9065656565656566,23.8,21.6,12.6,2.5,1.151
UC San Diego Tritons,10,99.77777777777777,42.888888888888886,0.42615384615384616,18.444444444444443,21.880000000000003,2.7055555555555557,17.767777777777777,47.55555555555556,0.8927097661623109,42.666666666666664,0.1778082191780822,10.11111111111111,1.7777777777777777,5.111111111111111,1.2222222222222223,0.2361111111111111,0.8888888888888888,0.4444444444444444,0.5454545454545454,16.88888888888889,6.222222222222222,0.36199095022624433,6.333333333333333,5.888888888888889,67.11111111111111,0.5890538033395176,38.55555555555556,-0.9899999999999984,222.22222222222223,0.46739774748073504,103.11111111111111,134.44444444444446,0.6666666666666666,88.44444444444444,0.3643835616438356,12.555555555555555,4.444444444444445,1.0,-0.2222222222222222,7.333333333333333,1.5555555555555556,40.44444444444444,92.77777777777777,0.822316986496091,75.44444444444444,0.316986301369863,16.757777777777775,52.888888888888886,0.5239327296248383,28.0,0.11095890410958904,118.22222222222223,57.55555555555556,18.22222222222222,42.44444444444444,14.222222222222221,75.22222222222223,0.3964285714285714,30.666666666666668,1.4444444444444444,13.777777777777779,320.0,0.7605751198166285,241.77777777777777,57.22222222222222,0.6182926829268293,35.666666666666664,0.1389041095890411,0.1111111111111111,0.1111111111111111,24.444444444444443,4.0,0.75,31.0,5.777777777777778,0.19399538106235567,42.88777777777778,74.11111111111111,0.7056117755289788,53.55555555555556,0.21013698630136987,92.11111111111111,14.333333333333334,39.0,38.77777777777778,0.0,10.88888888888889,11.444444444444445,4.555555555555555,0.3781094527363184,4.777777777777778,1.6666666666666667,0.296875,0.30158730158730157,4.444444444444445,0.4117647058823529,0.3409090909090909,2.6666666666666665,1.2222222222222223,1.4444444444444444,0.5263157894736842,0.7777777777777778,0.0027397260273972603,0.8379120879120879,26.444444444444443,22.444444444444443,16.555555555555557,1.5555555555555556,1.3422222222222222
UC Santa Barbara Gauchos,14,100.9090909090909,49.63636363636363,0.48986125933831376,24.545454545454547,20.29090909090909,4.362727272727273,19.526363636363637,78.81818181818181,0.9251048532055123,73.0909090909091,0.17657822506861848,14.181818181818182,1.2727272727272727,4.454545454545454,0.8181818181818182,0.21100917431192662,1.0,0.7272727272727273,0.65,18.818181818181817,6.454545454545454,0.3393782383419689,6.2727272727272725,5.454545454545454,90.72727272727273,0.6402144772117963,60.09090909090909,0.4200000000000017,260.3636363636364,0.5012192834365035,132.27272727272728,172.54545454545453,0.7170454545454545,123.45454545454545,0.28865507776761207,15.818181818181818,2.0,0.2727272727272727,0.0,9.636363636363637,1.2727272727272727,38.72727272727273,190.72727272727272,0.8852623650514687,168.45454545454547,0.4032479414455627,11.441818181818181,57.27272727272727,0.5397096498719044,31.181818181818183,0.07227813357731015,122.54545454545455,55.45454545454545,18.545454545454547,48.54545454545455,16.331818181818182,86.54545454545455,0.39708356702187325,33.09090909090909,2.0,7.069090909090909,509.90909090909093,0.824750047160913,420.27272727272725,64.45454545454545,0.680672268907563,43.18181818181818,0.10189844464775846,0.18181818181818182,0.18181818181818182,26.272727272727273,3.6363636363636362,0.8333333333333334,33.90909090909091,7.545454545454546,0.22533333333333333,57.358181818181826,93.0,0.7218366257341164,67.0909090909091,0.1546203110704483,96.18181818181819,12.636363636363637,43.36363636363637,40.18181818181818,0.0,11.454545454545455,9.545454545454545,4.181818181818182,0.42920353982300885,5.545454545454546,1.4545454545454546,0.26126126126126126,0.29591836734693877,4.0,0.3726235741444867,0.4959349593495935,4.7272727272727275,2.909090909090909,3.090909090909091,0.34375,1.0,0.002516010978956999,0.9128712871287129,23.363636363636363,21.181818181818183,15.090909090909092,2.090909090909091,1.4427272727272726
