Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),0,0.2,4,1,25,93,69,74.19,55.44,36,6,15,15,25,9,11,5,44,25,56.82
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (65.4%),0,0.01,1,0,0,82,62,75.61,44.56,30,9,11,10,20,8,8,4,44,17,38.64
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,0,41,28,68.29,26.07,21,6,7,8,9,6,3,0,44,28,63.64
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC Davis Aggies,4-1-3-2 (100.0%),0,0,1,0,0,79,64,81.01,73.93,16,4,2,10,15,7,4,4,44,16,36.36
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),0,0.04,1,0,0,75,55,73.33,47.95,26,6,6,14,20,11,5,4,48,18,37.5
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,CSUN Matadors,4-2-3-1 (100.0%),0,0.58,4,3,75,84,66,78.57,52.05,20,7,5,8,15,8,5,2,48,27,56.25
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,UC San Diego Tritons,4-4-2 (100.0%),0,0.46,1,0,0,46,34,73.91,42.26,21,1,13,7,21,8,10,3,47,24,51.06
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0,0,0,0,88,70,79.55,57.74,29,6,16,7,19,7,11,1,47,22,46.81
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),1,0.32,4,2,50,59,50,84.75,39.52,16,1,8,7,17,2,13,2,53,23,43.4
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC Riverside Highlanders,3-4-1-2 (0.0%),0,0.11,1,0,0,110,91,82.73,60.48,23,3,14,6,17,10,5,2,53,27,50.94
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),1,0.08,1,1,100,67,49,73.13,47.36,27,5,8,14,16,10,4,2,43,17,39.53
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,Cal Poly Mustangs,4-2-3-1 (100.0%),1,0.07,2,1,50,85,67,78.82,52.64,21,2,5,14,24,8,10,6,43,22,51.16
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-2-3-1 (100.0%),0,0.06,1,0,0,34,22,64.71,31.05,20,2,11,7,10,4,5,1,31,13,41.94
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,16,Cal State Fullerton Titans,4-4-2 (100.0%),0,0.05,2,0,0,93,78,83.87,68.95,20,2,8,10,15,6,9,0,31,14,45.16
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),0,0.3,1,1,100,31,26,83.87,22.73,9,2,3,4,11,8,3,0,29,13,44.83
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,16,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.15,2,2,100,130,116,89.23,77.27,16,0,4,12,13,7,3,3,29,16,55.17
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),0,0.04,1,1,100,62,48,77.42,40.13,25,4,7,14,26,11,13,2,54,19,35.19
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,18,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0.34,3,0,0,135,112,82.96,59.87,23,2,11,10,20,10,7,3,54,32,59.26
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-3-2-1 (100.0%),0,0.01,1,1,100,58,45,77.59,27.62,24,5,7,12,20,12,6,2,38,10,26.32
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,16,San Diego Toreros,3-5-2 (100.0%),0,0.26,5,0,0,131,111,84.73,72.38,29,3,8,18,19,8,7,4,38,27,71.05
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,3-4-2-1 (100.0%),0,0,0,0,0,55,42,76.36,33.31,26,9,13,4,18,15,2,1,52,22,42.31
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,16,Santa Clara Broncos,3-5-2 (100.0%),0,0.11,3,0,0,119,101,84.87,66.69,24,2,6,16,18,2,12,4,52,29,55.77
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (0.0%),0,0.29,3,0,0,56,41,73.21,37.93,16,3,5,8,16,7,6,3,31,21,67.74
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),0,0.38,3,2,66.67,131,120,91.6,62.07,18,2,8,8,11,6,2,3,31,9,29.03
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-2-3-1 (100.0%),0,1.14,3,2,66.67,82,61,74.39,45.9,26,5,8,13,16,10,4,2,34,16,47.06
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,16,Gonzaga Bulldogs,3-5-2 (100.0%),0,0.51,4,0,0,87,70,80.46,54.1,20,4,5,11,20,11,6,3,34,18,52.94
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (100.0%),1,0.76,1,1,100,81,64,79.01,51.9,21,1,7,13,15,2,11,2,43,20,46.51
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),0,0.1,2,0,0,81,70,86.42,48.1,22,4,10,8,14,6,7,1,43,22,51.16
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-4-1-1 (100.0%),0,0,0,0,0,40,30,75,30.44,17,4,4,9,13,6,4,3,36,18,50
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,16,Pacific Tigers,4-4-1-1 (100.0%),0,0.1,2,0,0,106,87,82.08,69.56,18,3,5,10,16,7,7,2,36,18,50
